HELPER ,Helper 2,NAMING CONVENTION,Inspection Task,Frequency,Unit Abb,REVIEWED COMMENTS,JB Task Assignment,Description,Measurement Type,Expected Value,Response Type
2.4DCVAAnnual,2.4,2.4-DCVA-Annual,2.4-A-DCVA-3,Annual,DCVA,,BORIS,Perform testing of backflow prevention device per NYC regulations. Test form to be filled out by certified tester and signed by Licensed Plumber. Submit to NYC DEP.,YesNo,Yes,Specific List
2.4DCVAQuarterly,2.4,2.4-DCVA-Quarterly,2.4-Q-DCVA-1,Quarterly,DCVA,,BORIS,Inspect double check valve assembly to ensure isolation valves are in the normal open position. Place the isolation valves in the normal open position.,YesNo,Yes,Specific List
2.4DCVAQuinquennial,2.4,2.4-DCVA-Quinquennial,2.4-QQ-DCVA-2,Quinquennial,DCVA,,BORIS,"Inspect internally to verify that all components operate correctly, move freely, and are in good condition.",YesNo,Yes,Specific List
2.4DCVAQuinquennial,2.4,2.4-DCVA-Quinquennial,2.4-QQ-DCVA-2A,Quinquennial,DCVA,,BORIS,"Internal components shall be cleaned, repaired, replaced, lubricated and cleared of obstructions as necessary in accordance with the manufacturer’s instructions.",YesNo,Yes,Specific List
2.4MAnnual,2.4,2.4-M-Annual,2.4-A-M-1,Annual,M,,BORIS,"Inspect meter for any leaks, corrosion and damage. Clean and verify proper operation.",YesNo,Yes,Specific List
2.4MICVAnnual,2.4,2.4-MICV-Annual,2.4-A-MICV-1,Annual,MICV,,BORIS,"Inspect meter inlet control valve for any leaks, corrosion and seizing. Ensure valve in correct position and correct flow through device. Clean, lubricate and verify proper operation.
*Not BMS related - name only and child to water meter",YesNo,Yes,Specific List
2.4MOCVAnnual,2.4,2.4-MOCV-Annual,2.4-A-MOCV-1,Annual,MOCV,,BORIS,"Inspect meter outlet control valve for any leaks, corrosion and seizing. Ensure valve in correct position and correct flow through device. Clean, lubricate and verify proper operation. 
*Not BMS related - name only and child to water meter",YesNo,Yes,Specific List
2.3MSVQuarterly,2.3,2.3-MSV-Quarterly,2.3-Q-MSV-1,Quarterly,MSV,,BORIS,"Check for proper operation of meter stop valves. Clean, lubricate and verify proper operation.",YesNo,Yes,Specific List
2.3PRVQuarterly,2.3,2.3-PRV-Quarterly,2.3-Q-PRV-1,Quarterly,PRV,,BORIS,"Check for proper operation of pressure reducing valves. Clean, lubricate and verify proper operation.",YesNo,Yes,Specific List
2.4PRVQuarterly,2.4,2.4-PRV-Quarterly,2.4-Q-PRV-1,Quarterly,PRV,,BORIS,"Check for proper operation of pressure reducing valves. Clean, lubricate and verify proper operation.",YesNo,Yes,Specific List
2.4PWAnnual,2.4,2.4-PW-Annual,2.4-A-PW-5,Annual,PW,,BORIS, Replace Quick Connect,YesNo,Yes,Specific List
2.4PWAnnual,2.4,2.4-PW-Annual,2.4-A-PW-7,Annual,PW,,BORIS, Replace HP Hose,YesNo,Yes,Specific List
2.4PWSemi-Annual,2.4,2.4-PW-Semi-Annual,2.4-SA-PW-4,Semi-Annual,PW,,BORIS, Replace High Pressure Nozzle,YesNo,Yes,Specific List
2.4RPZAnnual,2.4,2.4-RPZ-Annual,2.4-A-RPZ-4,Annual,RPZ,,BORIS,Perform testing of backflow prevention device per NYC regulations. Test form to be filled out by certified tester and signed by Licensed Plumber. Submit to NYC DEP.,YesNo,Yes,Specific List
2.4RPZQuinquennial,2.4,2.4-RPZ-Quinquennial,2.4-QQ-RPZ-3,Quinquennial,RPZ,,BORIS,"Inspect internally to verify that all components operate correctly, move freely, and are in good condition.",YesNo,Yes,Specific List
2.4RPZQuinquennial,2.4,2.4-RPZ-Quinquennial,2.4-QQ-RPZ-3A,Quinquennial,RPZ,,BORIS,"Internal components shall be cleaned, repaired, replaced, lubricated and cleared of obstructions as necessary in accordance with the manufacturer’s instructions.",YesNo,Yes,Specific List
2.4RPZQuarterly,2.4,2.4-RPZ-Quarterly,2.4-Q-RPZ-1,Quarterly,RPZ,,BORIS,Inspect reduced pressure zone valve assembly to ensure isolation valves are in the normal open position. Place the isolation valves in the normal open position.,YesNo,Yes,Specific List
2.4RPZQuarterly,2.4,2.4-RPZ-Quarterly,2.4-Q-RPZ-2,Quarterly,RPZ,,BORIS,Inspect reduced pressure zone valve assembly to ensure that the differential- sensing valve relief port is not continuously discharging.,YesNo,Yes,Specific List
2.4RPZQuarterly,2.4,2.4-RPZ-Quarterly,2.4-Q-RPZ-2A,Quarterly,RPZ,,BORIS,"Record continuous discharge. Internal components shall be cleaned, repaired, replaced, lubricated and cleared of obstructions as necessary in accordance with the manufacturer’s instructions.",YesNo,Yes,Specific List
2.3CHAnnual,2.3,2.3-CH-Annual,2.3-A-CH-1,Annual,CH,,CARRIER,"Check variable-frequency drive for proper operation. Correct as needed. Clean housing, and tighten connections as needed. Clean or replace air filter. Change VFD refrigerant strainer.",YesNo,Yes,Specific List
2.3CHAnnual,2.3,2.3-CH-Annual,2.3-A-CH-10,Annual,CH,,CARRIER,Condenser: Inspect condenser tubes. Inspect relief valves. Verify water pressure differential. Condenser: Replace refrigerant filter/drier. Clean condenser tubes. Leak test.,YesNo,Yes,Specific List
2.3CHAnnual,2.3,2.3-CH-Annual,2.3-A-CH-2,Annual,CH,,CARRIER,"Check control box for dirt, debris, and/or loose terminations. Check pressure transducers. Confirm accuracy of thermistors. Clean and tighten electrical
connections as needed.",YesNo,Yes,Specific List
2.3CHAnnual,2.3,2.3-CH-Annual,2.3-A-CH-3,Annual,CH,,CARRIER,"Check refrigerant system pressures and/or temperatures. When outside of recommended levels, find and record the cause.",YesNo,Yes,Specific List
2.3CHAnnual,2.3,2.3-CH-Annual,2.3-A-CH-4,Annual,CH,,CARRIER,"Check for evidence of build-up, fouling, corrosion, or degradation on heat exchange surfaces. Clean and restore as needed to ensure acceptable condition.",YesNo,Yes,Specific List
2.3CHAnnual,2.3,2.3-CH-Annual,2.3-A-CH-5,Annual,CH,,CARRIER,"Check for proper fluid flow and for fluid leaks. Adjust flow when outside of recommended flow range. When leaking, find and record the location of identified leaks.",YesNo,Yes,Specific List
2.3CHAnnual,2.3,2.3-CH-Annual,2.3-A-CH-8,Annual,CH,,CARRIER, Compressor: Change oil filter. Send oil sample out for analysis. Change oil if required by analysis. Leak test.,YesNo,Yes,Specific List
2.3CHAnnual,2.3,2.3-CH-Annual,2.3-A-CH-9,Annual,CH,,CARRIER,Cooler: Inspect cooler tubes. Inspect relief valves. Verify water pressure differential. Cooler: Clean cooler tubes. Leak test.,YesNo,Yes,Specific List
2.3CHMonthly,2.3,2.3-CH-Monthly,2.3-M-CH-18,Monthly,CH,,CARRIER,"VERIFY CONTROL POWER IS ON Controls: For seasonal shutdown, do not disconnect control power.",YesNo,Yes,Specific List
2.3CHQuinquennial,2.3,2.3-CH-Quinquennial,2.3-QQ-CH-11,Quinquennial,CH,,CARRIER,Oil Reclaim: Inspect oil sump strainer (Inspect in first year and every 5 years thereafter). Inspect oil sump heater. Oil Reclaim: Record any issues with oil sump strainer or heater.,YesNo,Yes,Specific List
2.3CHQuinquennial,2.3,2.3-CH-Quinquennial,2.3-QQ-CH-14,Quinquennial,CH,,CARRIER,Compressor: Inspect compressor shafts and bearings. Compressor: Change oil charge (if required based on oil analysis or if oil analysis has not been performed).,YesNo,Yes,Specific List
2.3CHQuinquennial,2.3,2.3-CH-Quinquennial,2.3-QQ-CH-15,Quinquennial,CH,,CARRIER,Economizer: Inspect float valve and damper valve. Economizer: Record any issues.,YesNo,Yes,Specific List
2.3CHTriennial,2.3,2.3-CH-Triennial,2.3-T-CH-12,Triennial,CH,,CARRIER, Cooler: Perform eddy current test.,YesNo,Yes,Specific List
2.3CHTriennial,2.3,2.3-CH-Triennial,2.3-T-CH-13,Triennial,CH,,CARRIER,Condenser: Inspect float valve and strainer. Condenser: Perform eddy current test.,YesNo,Yes,Specific List
2.3CHWeekly,2.3,2.3-CH-Weekly,2.3-4M-CH-6,Weekly,CH,,CARRIER/TORFI,WEEK1: Controls: Review ICVC Alarm/Alert History. Controls: Address any alarms.,YesNo,Yes,Specific List
2.3CHWeekly,2.3,2.3-CH-Weekly,2.3-4M-CH-6A,Weekly,CH,,CARRIER/TORFI,WEEK2: Controls: Review ICVC Alarm/Alert History. Controls: Address any alarms.,YesNo,Yes,Specific List
2.3CHWeekly,2.3,2.3-CH-Weekly,2.3-4M-CH-6B,Weekly,CH,,CARRIER/TORFI,WEEK3:Controls: Review ICVC Alarm/Alert History. Controls: Address any alarms.,YesNo,Yes,Specific List
2.3CHWeekly,2.3,2.3-CH-Weekly,2.3-4M-CH-6C,Weekly,CH,,CARRIER/TORFI,WEEK4: Controls: Review ICVC Alarm/Alert History. Controls: Address any alarms.,YesNo,Yes,Specific List
2.3CHMonthly,2.3,2.3-CH-Monthly,2.3-M-CH-7,Monthly,CH,,CARRIER/TORFI,Controls: Perform an Automated Controls test. Controls: Record test results. Address any issues during test and re-test as necessary.,YesNo,Yes,Specific List
